timestamp,cpu_total,ram_percent,net_up_bps,net_down_bps,disk_read_bps,disk_write_bps,gpu_load,gpu_temp
1756692074.773619,16.7,67.2,167.78909870901253,270.9321810323016,12717361.913247347,121981.94840171744,,
1756692075.5136228,13.5,67.3,0.0,0.0,0.0,4139.642726353798,,
1756692076.5354726,5.5,67.3,215.40349778490742,353.02239914748714,0.0,4084.688550587874,,
1756692077.525229,8.7,67.2,23379.21639647054,14766.239503311948,427596.5718815246,166966.28044897626,,
1756692078.5189128,4.9,67.3,128.74719529818256,140.81724485738718,16479.640998167368,432590.57620189345,,
1756692079.53015,4.4,67.2,365.97944865841663,3374.15199007028,0.0,85311.89229214734,,
1756692080.5268743,6.1,67.3,64.40640351184474,1462.2266297298504,0.0,193734.46176362902,,
1756692081.5197725,5.4,67.3,64.3603859003198,158.8897026914145,0.0,28833.452883343267,,
1756692082.5190427,5.7,67.3,63.88605223732295,69.87536963457197,0.0,12266.122029566006,,
1756692083.5187504,5.0,67.3,0.0,0.0,0.0,612731.2537404353,,
1756692084.526976,4.3,67.2,63.54077919962922,199.55775967383553,0.0,4066.60986877627,,
1756692085.519687,4.1,67.2,0.0,0.0,0.0,12390.895471879378,,
1756692086.5298827,4.7,67.2,63.35494118610558,69.29446692230297,0.0,105422.62213367967,,
1756692087.5250998,6.0,67.2,158.59398482025657,223.838345664033,30835.48869416634,139787.54874688742,,
1756692088.5193577,5.3,67.2,260.63040652427287,260.63040652427287,32974.274752847006,140140.66769959975,,
1756692089.537924,18.5,67.2,254.07963880781023,499.22679031378334,0.0,28456.919546474743,,
1756692090.5282276,7.9,67.2,0.0,0.0,16805188.017148845,12284.49416458249,,
1756692091.5159407,5.9,67.3,0.0,0.0,0.0,12440.643401955325,,
1756692092.5241954,5.2,67.3,105.91086874232437,0.0,0.0,170280.9212287808,,
1756692093.520406,5.8,67.3,0.0,64.2134475435381,0.0,242469.97792439983,,
1756692094.5381708,6.7,67.3,2040.8319776536473,6072.204361308561,0.0,32959.08439810484,,
1756692095.5263581,7.3,67.3,158.4514514337254,63.38058057349016,5888309.45759953,336677.6440063797,,
1756692096.520038,4.3,67.3,128.75139442269293,1308.6372198744025,0.0,24720.267729157044,,
1756692097.5217762,4.1,67.3,366.7549447395618,577.7646389732823,77169.25960547492,139933.5907512612,,
1756692098.5270267,6.6,67.3,213.58887150572465,0.0,0.0,380726.11880842655,,
1756692099.5232759,5.9,67.3,217.0381786772733,0.0,49388.24332567286,312792.2077292614,,
1756692100.518542,6.6,67.3,525.7441000553157,3364.5611909849745,0.0,20587.455390311407,,
1756692101.5293744,10.0,67.3,473.0406365283124,2030.4668000134764,0.0,16420.12243406752,,
1756692102.5200555,6.6,67.3,4804.601645389426,5282.379894600159,4068.5648830918108,8137.1297661836215,,
1756692103.5167906,5.1,67.3,0.0,0.0,65917.15711486503,358424.54181207856,,
1756692104.5370142,24.4,67.2,243.0905293003958,147.05476463851102,32780.20767125666,155705.98643846915,,
1756692105.52025,8.9,67.2,0.0,0.0,0.0,345809.99809842126,,
1756692106.5490928,0.0,67.1,0.0,0.0,1392336.755498374,0.0,,
1756692107.537291,25.0,67.2,0.0,4260.542115705102,0.0,0.0,,
1756692108.5385308,22.2,67.1,0.0,0.0,0.0,0.0,,
1756692109.5297732,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692110.538962,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692111.5342774,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692112.5270786,14.3,67.1,0.0,0.0,0.0,0.0,,
1756692113.5423362,25.0,67.1,0.0,0.0,0.0,263944.27912550507,,
1756692114.537127,11.1,67.1,0.0,0.0,0.0,0.0,,
1756692115.5403235,12.5,67.1,0.0,4662.409959982214,0.0,0.0,,
1756692117.0493977,100.0,67.3,0.0,0.0,0.0,0.0,,
1756692117.6129887,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692118.6014125,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692119.6070368,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692120.6016474,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692121.6015468,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692122.6055603,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692123.5980237,100.0,68.4,0.0,0.0,0.0,1056101.6265195408,,
1756692124.610513,85.7,68.4,0.0,0.0,0.0,0.0,,
1756692125.6075196,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692126.6004813,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692127.6054478,87.5,68.4,0.0,0.0,0.0,0.0,,
1756692128.5835848,50.0,67.1,0.0,0.0,0.0,0.0,,
1756692129.5312116,12.5,67.1,0.0,0.0,0.0,0.0,,
1756692130.558945,12.5,67.1,201521.98474465564,84277.05122385945,78192758.8955042,0.0,,
1756692131.5366266,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692132.5439746,37.5,67.2,0.0,0.0,0.0,0.0,,
1756692133.537258,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692134.545921,26.7,67.2,0.0,0.0,0.0,0.0,,
1756692135.5321653,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692136.5398517,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692137.5380356,20.0,67.2,0.0,3994.8130245847965,0.0,0.0,,
1756692138.5297441,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692139.543012,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692140.5443296,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692141.5366054,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692142.541458,0.0,67.2,0.0,0.0,0.0,8912646.673641434,,
1756692143.5647626,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692144.5400782,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692145.53982,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692146.5405533,33.3,67.2,0.0,0.0,0.0,0.0,,
1756692147.554826,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692148.58731,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692149.5624204,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692150.5592413,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692151.5641508,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692152.5719688,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692153.5797915,33.3,67.2,0.0,0.0,0.0,0.0,,
1756692154.5696127,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692156.5949156,0.0,67.9,0.0,0.0,0.0,0.0,,
1756692157.59434,0.0,68.1,0.0,0.0,0.0,0.0,,
1756692158.5958116,0.0,68.1,0.0,0.0,3270954.19753439,30256326.327193107,,
1756692159.5825262,33.3,68.0,0.0,0.0,0.0,0.0,,
1756692160.5747511,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692161.5855224,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692162.5891526,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692163.6369915,33.3,68.0,0.0,0.0,0.0,0.0,,
